timestamp,symbol,open,high,low,close,volume,trade_count,vwap,RSI,position
2024-12-16 05:00:00+00:00,AAPL,247.99,251.38,247.65,251.04,51694753.0,448224.0,250.490096,,0
2024-12-17 05:00:00+00:00,AAPL,250.08,253.83,249.78,253.48,51356360.0,487662.0,253.010532,,0
2024-12-18 05:00:00+00:00,AAPL,252.16,254.28,247.74,248.05,56774101.0,564347.0,250.488225,,0
2024-12-19 05:00:00+00:00,AAPL,247.5,252.0,247.0949,249.79,60882264.0,532896.0,249.866349,,0
2024-12-20 05:00:00+00:00,AAPL,248.04,255.0,245.69,254.49,147495267.0,551019.0,252.59909,,0
2024-12-23 05:00:00+00:00,AAPL,254.77,255.65,253.45,255.27,40858774.0,422563.0,254.713849,,0
2024-12-24 05:00:00+00:00,AAPL,255.49,258.21,255.29,258.2,23234705.0,245932.0,257.452942,,0
2024-12-26 05:00:00+00:00,AAPL,258.19,260.1,257.63,259.02,27262983.0,362325.0,258.937766,,0
2024-12-27 05:00:00+00:00,AAPL,257.83,258.7,253.06,255.59,42355321.0,474899.0,255.255129,,0
2024-12-30 05:00:00+00:00,AAPL,252.23,253.5,250.75,252.2,35557542.0,421634.0,252.228327,,0
2024-12-31 05:00:00+00:00,AAPL,252.44,253.28,249.43,250.42,39480718.0,361255.0,250.721619,,0
2025-01-02 05:00:00+00:00,AAPL,248.93,249.1,241.8201,243.85,55740731.0,685448.0,244.339399,,0
2025-01-03 05:00:00+00:00,AAPL,243.36,244.18,241.89,243.36,40244114.0,493786.0,243.069441,,0
2025-01-06 05:00:00+00:00,AAPL,244.31,247.33,243.2,245.0,45045571.0,493920.0,245.23906,,0
2025-01-07 05:00:00+00:00,AAPL,242.98,245.55,241.35,242.21,40855960.0,462887.0,243.011137,38.65913177359047,0
2025-01-08 05:00:00+00:00,AAPL,241.92,243.7123,240.05,242.7,37628940.0,406916.0,242.272854,35.42455381153066,0
2025-01-10 05:00:00+00:00,AAPL,240.01,240.16,233.0,236.85,61710856.0,685976.0,236.564899,35.02673796660321,0
2025-01-13 05:00:00+00:00,AAPL,233.53,234.67,229.72,234.4,49630725.0,561231.0,232.601034,29.808449224829886,0
2025-01-14 05:00:00+00:00,AAPL,234.75,236.12,232.472,233.28,39435294.0,436333.0,233.949347,19.287576020069324,0
2025-01-15 05:00:00+00:00,AAPL,234.635,238.96,234.43,237.87,39831969.0,418804.0,237.596688,27.30829420870542,0
2025-01-16 05:00:00+00:00,AAPL,237.35,238.01,228.03,228.26,71759052.0,786112.0,230.597381,16.748111949723466,0
2025-01-17 05:00:00+00:00,AAPL,232.115,232.29,228.48,229.98,68488301.0,579302.0,230.573333,18.37979094020615,0
2025-01-21 05:00:00+00:00,AAPL,224.0,224.42,219.38,222.64,98070429.0,1220197.0,221.551566,16.937587798039033,0
2025-01-22 05:00:00+00:00,AAPL,219.79,224.12,219.79,223.83,64126500.0,683037.0,222.720781,20.218349778956423,0
2025-01-23 05:00:00+00:00,AAPL,224.74,227.03,222.3,223.66,60234760.0,619806.0,224.1898,20.925684484369924,0
2025-01-24 05:00:00+00:00,AAPL,224.78,225.63,221.41,222.78,54697907.0,579473.0,223.094438,23.878006445984894,0
2025-01-27 05:00:00+00:00,AAPL,224.02,232.15,223.98,229.86,94863418.0,1008209.0,229.066419,35.61381074062534,1
2025-01-28 05:00:00+00:00,AAPL,230.85,240.19,230.81,238.26,75707569.0,788818.0,237.590259,43.7220566307524,1
2025-01-29 05:00:00+00:00,AAPL,234.12,239.855,234.01,239.36,45486100.0,515214.0,237.532995,47.25908828493628,1
2025-01-30 05:00:00+00:00,AAPL,238.665,240.79,237.21,237.59,55658279.0,636380.0,238.666258,45.203679368063,1
2025-01-31 05:00:00+00:00,AAPL,247.19,247.19,233.44,236.0,101075128.0,936710.0,238.739716,49.13283003328329,1
2025-02-03 05:00:00+00:00,AAPL,229.99,231.83,225.7,228.01,72998404.0,850831.0,228.158376,44.14298808319339,1
2025-02-04 05:00:00+00:00,AAPL,227.25,233.13,226.65,232.8,44902694.0,494709.0,231.209491,49.58777052440017,1
2025-02-05 05:00:00+00:00,AAPL,228.53,232.67,228.27,232.47,39664989.0,445631.0,230.958037,44.99629354961093,1
2025-02-06 05:00:00+00:00,AAPL,231.285,233.8,230.425,233.22,29925349.0,375401.0,232.379795,55.49889135082709,1
2025-02-07 05:00:00+00:00,AAPL,232.6,234.0,227.26,227.63,39487057.0,484221.0,229.183241,47.60057177727914,1
2025-02-10 05:00:00+00:00,AAPL,229.57,230.585,227.2,227.65,33102191.0,398008.0,228.551097,56.01440576042209,1
2025-02-11 05:00:00+00:00,AAPL,228.2,235.23,228.13,232.62,53718362.0,552127.0,232.735086,59.67422407916476,1
2025-02-12 05:00:00+00:00,AAPL,231.2,236.96,230.68,236.87,45243292.0,486475.0,235.145378,63.340739242805945,1
2025-02-13 05:00:00+00:00,AAPL,236.91,242.3399,235.57,241.53,53614054.0,531132.0,240.36593,67.59241883853198,1
2025-02-14 05:00:00+00:00,AAPL,241.25,245.55,240.99,244.6,40896227.0,481732.0,244.066726,64.95535714101177,1
2025-02-18 05:00:00+00:00,AAPL,244.15,245.18,241.84,244.47,48822491.0,486720.0,244.072787,57.57132406533528,1
2025-02-19 05:00:00+00:00,AAPL,244.66,246.01,243.1604,244.87,32146308.0,382617.0,244.699147,56.83453237212679,1
2025-02-20 05:00:00+00:00,AAPL,244.94,246.78,244.29,245.83,32316907.0,405771.0,245.643641,60.4303797446936,1
2025-02-21 05:00:00+00:00,AAPL,245.95,248.69,245.22,245.55,53197431.0,508398.0,246.384922,62.503273105852195,1
2025-02-24 05:00:00+00:00,AAPL,244.925,248.86,244.42,247.1,51326396.0,593130.0,247.302823,80.06299212245389,1
2025-02-25 05:00:00+00:00,AAPL,248.0,250.0,244.91,247.04,48013272.0,574045.0,247.548096,76.3508512173615,1
2025-02-26 05:00:00+00:00,AAPL,244.33,244.98,239.13,240.36,44433564.0,557242.0,241.664944,61.82199580202129,0
2025-02-27 05:00:00+00:00,AAPL,239.41,242.46,237.06,237.3,41153639.0,503479.0,239.443587,55.71748878705146,0
